"%s was successfully added to your shopping cart.","%s נוסף בהצלחה לעגלת הקניות."
"%s was added to your shopping cart.","%s נוסף בהצלחה לעגלת הקניות."
"Company","חברה"
"Condition Name","תנאי - שם"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","מוצר מורכב - תמונה"
"Confirm Password","אימות סיסמא"
"Content","תוכן"
"Content Height","גובה תוכן"
"Content Height (css)","גובה תוכן (css)"
"Continue","המשך"
"Continue Shopping","המשיכי בקניות"
"Continue to Billing Information","המשך להזין מידע לחיוב"
"Continue to Review Your Order","המשך לבחון את הזמנתך"
"Continue to Shipping Information","המשך למידע על משלוח"
"Country","ארץ"
"Coupon code ""%s"" is not valid.","קוד קופון ""%s"" אינו חוקי."
"Coupon code ""%s"" was applied successfully.","קופון ""%s"נקלט"
"Coupon code was canceled successfully.","קופון הנחה בוטל"
"Create Billing Address","הגדר כתובת לחיוב"
"Create Shipping Address","צור כתובת למשלוח"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","בעיית בשמירת נתונים"
"Default Billing","חיוב ברירת מחדל"
"Default Shipping","פרטי משלוח כברירת מחדל"
"Delete Condition","מחק תנאי"
"Details","פרטים"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","כבוי/לא פעיל"
"Discount Codes","קודים להנחות"
"Display Cart Summary","הצג סיכום עגלת קניות"
"Display Shopping Cart Sidebar","הצג את עגלת הקניות בסרגל צידי"
"Display item quantities","הצג כמויות פריט"
"Display number of items in cart","הצג כמות פריטים בעגלה"
"Easy access to your order history and status","גישה קלה להיסטוריית ההזמנות והסטאטוס"
"Edit","ערוך"
"Edit Address","ערוך כתובת"
"Edit Billing Address","ערוך כתובת לחיוב"
"Edit Items","ערוך פריטים"
"Edit Shipping Address","ערוך כתובת למשלוח"
"Edit Terms and Conditions","ערוך תקנון שימוש"
"Edit Your Cart","ערוך את הסל שלך"
"Email Address","כתובת אי-מייל"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","פעיל"
"Enter a New Address","הכנס כתובת חדשה"
"Enter your coupon code if you have one.","הקלד את קוד הקופון, במידה ויש לך."
"Enter your destination to get a shipping estimate.","הכנס את יעדך לקבלת הערכת המשלוח"
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","עלות משלוח ומיסים מוערכת"
"Excl. Tax","לא כולל מס"
"Fast and easy check out","תשלום מהיר וקל"
"Fax","פקס"
"Forgot an Item?","שכחת פריט כלשהו?"
"Forgot your password?","שכחת את הסיסמא?"
"Get a Quote","קבל הצעת מחיר"
"Grand Total:","סה""כ:"
"Grouped product image","תמונת מוצר קבוצתי"
"HTML","HTML"
"ID","קוד/ת.ז/זיהוי"
"Incl. Tax","כולל מס"
"Invalid data","נתונים לא תקניים"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","כתובת משלוח לא תקינה"
"Items","פריטים"
"Load customer quote error","שגיאה בטעינת הצעת מחיר ללקוח"
"Loading next step...","טוען שלב הבא..."
"Login","כניסה"
"Manage Checkout Terms and Conditions","ניהול תקנון תשלום"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","כמות מקסימלית מורשית למשלוח המפוצל לכמה כתובות הינה %s"
"Move to Wishlist","עבור לרשימת החלומות"
"My Account","My Account"
"My Cart","עגלת הקניות שלי"
"My Cart (%s item)","העגלה שלי (%s פריט)"
"My Cart (%s items)","העגלה שלי (%s פריטים)"
"My Cart Link","לינק לעגלה שלי"
"New Address","כתובת חדשה"
"New Condition","New Condition"
"Order #","מס' הזמנה"
"Order Review","סקירת ההזמנה"
"Order Success","ההזמנה בוצעה בהצלחה"
"Other items in your order","Other items in your order"
"Password","סיסמא"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","מידע על תשלום"
"Payment Method","שיטת התשלום"
"Payment method is not defined","שיטת תשלום לא מוגדרת"
"Place Order","בצע הזמנה"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">המשך בקניות</a>."
"Please agree to all Terms and Conditions before placing the order.","אנא אשר את תקנון השימוש לפני ביצוע ההזמנה."
"Please agree to all Terms and Conditions before placing the orders.","אנא אשר את תקנון השימוש לפני ביצוע ההזמנות."
"Please enter a valid zip code. For example 90602 or 90602-1234.","אנא ציין מיקוד. לדוגמא 69020"
"Please log in below:","אנא התחבר (בתחתית):"
"Please select region, state or province","בחר איזור, מדינה או מחוז"
"Please select shipping address for applicable items","אנא בחרי כתובת משלוח"
"Please select shipping methods for all addresses","אנא בחר שיטות משלוח לכל הכתובות"
"Price","מחיר"
"Proceed to Checkout","עבור לקופה"
"Product","מוצר"
"Product Name","שם המוצר"
"Product does not exist","מוצר לא קיים"
"Qty","כמות"
"Quantity","כמות"
"Quote Lifetime (days)","תוקף הצעת מחיר (ימים)"
"Recently added item(s)","פריט(ים) שהוספו לאחרונה"
"Register","הירשם"
"Register and save time!","הירשם וחסוך זמן!"
"Register to Create an Account","הרשם כדי ליצור חשבון"
"Register with us for future convenience:","הרשם לשירות שלנו למען נוחיותך בעתיד:"
"Remove","הסר"
"Remove Item","הסר"
"Remove Product","הסר מוצר"
"Remove item","הסר"
"Review Order","סקור ההזמנה"
"Review Order - %s","צפה בהזמנה - %s"
"Sales","מכירות"
"Save Condition","שמור תנאי"
"Save in address book","שמור בספר הכתובות"
"Select Address","בחר כתובת"
"Select Addresses","בחר כתובות"
"Select Shipping Method","בחרי שיטת משלוח"
"Select State/Province...","בחר אזורמחוז..."
"Select a billing address from your address book or enter a new address.","בחר כתובת למשלוח מספר הכתובת שלך או שהכנס <a href=""#"" onclick=""billing.newAddress(true); return false;"">כתובת חדשה</a>."
"Select a shipping address from your address book or enter a new address.","בחר כתובת למשלוח מספר הכתובות או הזן <a href=""#"" onclick=""shipping.newAddress(true); return false;"">כתובת חדשה</a>."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","שלח אל"
"Ship to Multiple Addresses","משלוח למספר כתובות"
"Ship to different address","שלח לכתובת שונה"
"Ship to this address","שלח לכתובת זו"
"Shipping Address","כתובת למשלוח"
"Shipping Information","מידע על משלוח"
"Shipping Method","שיטת משלוח"
"Shipping Methods","שיטות משלוח"
"Shipping method has not been selected yet","שיטת המשלוח עדיין לא נבחרה"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","משלוח עבור"
"Shopping Cart","סל קניות"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","סל הקניות ריק"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","חלק מהמוצרים שביקשת להזמין לא זמינים בכמות המבוקשת"
"Some of the products you requested are unavailable","חלק מהמוצרים שביקשת להזמין לא זמינים כרגע"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"State/Province","מדינה/מחוז"
"Status","מצב"
"Store View","מבט חנות"
"Street Address","כתובת רחוב"
"Street Address ","Street Address "
"Submitting order information...","שולח מידע על ההזמנה..."
"Subtotal","סך ביניים"
"Telephone","טלפון"
"Terms and Conditions","תקנון שימוש"
"Terms and Conditions Information","מידע תקנון שימוש"
"Terms and conditions","תקנון שימוש"
"Text","טקסט"
"Thank you for your purchase!","אנו מודים על הזמנתך!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","ישנם <a href=""%s""><strong>%s פריטים</strong></a> בעגלת הקניות שלך."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There is already a customer registered using this email address","כבר קיים משתמש רשום מכתובת זו"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This condition no longer exists","This condition no longer exists"
"Total","סה""כ"
"Total for this address","סה""כ לכתובת הנבחרת"
"Unit Price","מחיר ליחידה"
"Update Qty &amp; Addresses","עדכון כמות וכתובות"
"Update Shopping Cart","עדכני סל הקניות"
"Update Total","עדכני סה""כ"
"Use Billing Address","השתמש בכתובת שהוזנה בחיוב"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","הזמנתך התקבלה ובקרוב תקבל אישור עם פרטי ההזמנה למייל שהגדרת. <br/>כשהמשלוח יצא, תקבל מייל נוסף ובו קישור למעקב אודות התקדמות המשלוח."
"You have no items in your shopping cart.","אין עדיין שום דבר בסל הקניות שלך"
"You will receive an order confirmation email with details of your order and a link to track its progress.","אישור הזמנה ישלח לכתובת האימייל שצויינה ובה קישור למעקב אחר התקדמות ההזמנה."
"Your Checkout Progress","התקדמות התשלום שלך"
"Your order # is: %s","מס' ההזמנה שלך: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","הזמנתך התקבלה"
"Your order number is ","Your order number is "
"Zip/Postal Code","מיקוד/ת.ד."
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","סל הקניות"
"You have no items in your shopping cart.","אין פריטים בסל הקניות"
"Checkout","לתשלום"
"Shopping Cart is Empty","סל הקניות ריק"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."

"You can choose options","אפשרויות בחירה"
"size","מידה"
